Energy_Consumption_kWh,Vehicle_ID,Traffic_Condition,Speed_kmh,Slope_%,Temperature_C,Road_Type,Humidity_%,Wind_Speed_ms,Weather_Condition
5.93973,1315,2,0.0717527,0.838752,-3.82865,1,73.8426,6.77003,2
7.07874,1786,3,40.6265,3.94601,-3.81969,1,59.218,1.22231,3
8.39632,1797,3,18.7772,5.8461,-3.819,1,82.2446,9.03152,2
5.83286,1958,2,32.1329,-3.94659,-3.81167,1,78.5393,7.51145,2
7.24835,1271,3,12.3082,-4.29046,-3.76283,1,89.5736,1.4684,4
12.9069,1548,2,113.565,0.292348,-3.75996,1,48.2732,7.0292,2
11.4676,1401,2,90.9649,3.08593,-3.73038,1,74.0369,2.63625,3
8.90138,1399,1,102.834,-1.5124,-3.7236,1,76.4703,11.6622,3
9.51308,1852,3,61.2697,-1.44675,-3.71944,1,67.8159,2.59581,1
8.39097,1201,2,28.8359,1.62403,-3.70277,1,80.8925,2.63827,4
9.93744,1733,1,94.1287,5.10864,-3.69078,1,53.8679,2.71226,2
8.01085,1661,1,85.6743,-4.65072,-3.67677,1,44.4711,2.64802,2
9.64598,1913,3,98.2643,9.36393,-3.67351,1,41.5594,3.64887,4
6.28246,1955,2,34.1129,8.13036,-3.62759,1,33.8898,14.7955,1
7.25926,1294,3,47.0661,-3.38976,-3.60953,1,31.0902,3.4641,2
5.31438,1748,1,17.9099,9.33547,-3.58564,1,42.7035,5.61852,1
8.94184,1967,3,91.9495,6.34928,-3.58557,1,36.6945,6.38453,4
9.65356,1976,1,70.5358,8.35976,-3.56634,1,74.1665,1.34842,3
10.5494,1072,3,68.4344,7.27458,-3.4786,1,57.2619,13.121,3
7.26098,1344,3,41.7662,4.44702,-3.34295,1,29.5172,0.898438,2
9.47455,1434,2,72.9983,-2.56897,-3.28423,1,83.0461,13.2886,3
4.63924,1312,3,16.132,9.77691,-3.26953,1,37.7952,12.562,4
8.6117,1336,1,108.29,-3.15909,-3.24529,1,24.8981,2.53474,1
6.49249,1967,1,23.4289,4.13967,-3.24063,1,27.6684,11.8687,3
12.3764,1299,3,78.5083,-4.92842,-3.22617,1,59.5398,7.39948,2
10.2708,1849,2,105.044,-0.830908,-3.22158,1,65.6772,3.73674,3
11.4159,1391,2,109.721,4.33455,-3.20856,1,84.3063,13.2697,4
8.74003,1635,3,38.6024,-2.82049,-3.15319,1,88.3557,3.15429,2
11.8481,1439,2,114.286,-1.60339,-3.13921,1,77.8107,2.07092,1
8.35528,1194,3,103.835,-3.15065,-3.13593,1,49.4548,9.74969,2
12.2503,1717,2,114.436,7.84768,-3.11556,1,63.1744,13.9021,4
8.2897,1712,3,25.2129,5.32354,-3.10383,1,51.6155,9.60424,3
8.14096,1397,1,60.5755,2.62553,-3.10302,1,70.9802,9.11121,4
7.76258,1163,2,103.655,-3.21584,-3.06654,1,33.2888,10.5587,2
6.90313,1121,1,105.581,-4.75134,-3.03568,1,22.2046,8.76701,2
8.98956,1026,2,40.086,1.25141,-3.00504,1,75.9618,6.53882,4
10.8619,1160,2,69.1854,1.86918,-2.98812,1,71.5573,12.4063,2
9.91511,1699,2,112.568,3.51832,-2.98703,1,44.2051,3.85846,3
9.83497,1712,3,40.8268,8.79412,-2.92906,1,76.7385,5.25675,1
9.884,1226,1,103.14,-0.384922,-2.92137,1,80.2546,3.29426,3
6.20872,1444,3,7.83321,-2.05513,-2.91047,1,66.0371,9.17768,4
12.6359,1684,3,110.557,7.85673,-2.90229,1,31.9274,10.0288,3
9.70727,1034,3,46.7286,8.74017,-2.87563,1,20.0436,3.74358,2
9.01366,1005,1,90.2877,-2.15604,-2.85951,1,62.2358,12.8228,1
8.83286,1141,2,49.9542,8.18405,-2.8369,1,51.8324,14.8323,2
6.50528,1150,2,3.73789,9.46499,-2.80305,1,45.1972,14.9083,3
6.93436,1384,2,4.79376,5.858,-2.79865,1,84.1369,11.8119,4
9.08785,1460,2,36.2903,9.36738,-2.79367,1,76.422,3.06347,1
8.30317,1084,1,27.0193,-4.64751,-2.79035,1,84.9771,14.4868,2
6.37325,1499,3,26.4585,9.09997,-2.71568,1,59.5182,13.8932,1
7.94992,1757,3,34.3511,2.22246,-2.69629,1,78.5924,1.13833,1
7.26281,1625,2,32.5316,-0.619232,-2.6798,1,65.4203,4.42393,1
6.21669,1929,1,36.4205,3.71838,-2.64497,1,28.1031,2.06462,4
7.74221,1855,3,59.1579,-0.757999,-2.63378,1,29.6126,9.70442,1
8.30115,1609,2,8.53899,-3.29186,-2.60581,1,54.8447,14.7484,1
9.76289,1724,1,59.1042,2.26218,-2.59347,1,88.4299,11.7358,3
10.9451,1476,1,117.644,0.208185,-2.5781,1,52.7545,14.6951,4
9.26718,1579,3,116.044,0.795333,-2.56108,1,39.3378,4.51933,2
8.55955,1321,1,63.7553,-0.842402,-2.54861,1,31.6812,12.1658,3
9.41493,1668,2,97.1974,6.71911,-2.52836,1,81.205,5.93242,2
10.7929,1963,1,100.662,8.05055,-2.47514,1,61.7576,12.1403,1
9.08958,1482,1,84.7971,2.47365,-2.47035,1,58.6096,4.66731,2
5.46033,1129,3,36.1904,0.990846,-2.46461,1,21.7178,2.80073,2
10.7011,1166,1,74.1942,3.29304,-2.44916,1,80.8489,5.45504,3
7.03365,1120,1,94.0202,-0.60034,-2.44112,1,39.8058,4.18097,4
10.0082,1637,3,73.361,7.40632,-2.42257,1,66.814,9.87682,1
10.2894,1989,3,96.8032,8.76175,-2.40488,1,76.7735,5.83593,1
9.51658,1429,1,105.001,5.05412,-2.3575,1,29.66,2.19979,4
9.5859,1046,1,89.6494,-0.313721,-2.34598,1,24.5649,10.7342,3
6.56201,1890,1,51.2274,-4.32642,-2.31428,1,82.0681,9.25875,2
9.42237,1969,3,68.3048,2.9946,-2.21358,1,80.2081,9.35728,3
8.18055,1191,3,23.8791,7.77216,-2.20268,1,83.6703,14.7232,2
5.64104,1071,1,18.2458,6.70508,-2.19923,1,51.5208,12.155,3
11.3909,1715,2,115.953,8.1924,-2.17911,1,51.7371,0.179842,4
10.7781,1363,2,100.932,3.46863,-2.17062,1,86.6984,1.31808,2
12.6353,1500,1,114.374,-0.504326,-2.15184,1,20.5565,6.4717,1
8.27016,1987,1,39.2087,-3.69884,-2.08943,1,57.3442,2.02036,4
9.12926,1287,1,93.9792,-0.877912,-2.01735,1,67.974,12.6465,3
6.42403,1736,1,18.7835,-4.32162,-1.9595,1,75.3987,7.45351,4
3.42257,1400,3,23.6691,-2.67769,-1.95621,1,38.4593,1.82001,3
10.2459,1116,3,105.803,0.459732,-1.92279,1,59.9171,7.12683,2
12.8691,1821,2,97.0559,8.43687,-1.8684,1,46.3586,13.19,4
5.90287,1328,1,20.9742,-3.54954,-1.86575,1,42.1586,4.34585,2
7.39691,1129,1,33.6721,1.71132,-1.80402,1,63.7727,13.4367,3
7.05291,1444,3,10.9123,5.56598,-1.74863,1,85.1926,1.09475,3
10.2524,1588,3,81.2247,8.12399,-1.71917,1,66.7742,5.42286,3
11.3533,1399,1,107.096,5.00989,-1.69702,1,58.224,0.0188461,3
7.53994,1671,2,56.9344,8.25961,-1.69624,1,63.4147,12.8455,4
10.2194,1375,1,99.1668,-4.07048,-1.68228,1,35.5852,1.63947,1
11.4239,1084,3,97.161,9.90497,-1.64192,1,60.5324,13.2054,3
9.56365,1212,3,57.1268,5.44765,-1.57874,1,51.0514,6.9719,2
8.16118,1279,1,54.5941,1.6494,-1.5679,1,48.808,1.58909,1
4.83766,1113,2,32.3556,1.59842,-1.54525,1,41.2369,6.93022,3
9.68233,1959,3,39.3411,3.67324,-1.47691,1,59.3095,0.739948,4
3.86336,1148,3,3.80925,0.0324748,-1.43113,1,44.7698,12.0684,3
5.16735,1977,2,48.6507,3.67976,-1.42308,1,40.5557,11.983,2
9.20879,1381,3,58.8539,9.61145,-1.34736,1,81.8333,9.33187,2
7.1414,1878,3,59.1438,8.37318,-1.3448,1,48.5177,14.8893,2
6.02791,1730,3,40.2446,-1.03348,-1.34443,1,28.5679,4.88424,2
9.86399,1909,2,100.853,2.42963,-1.29064,1,68.5202,5.60219,3
13.3198,1601,1,111.918,-0.780305,-1.27995,1,50.3717,1.34529,4
13.3848,1228,1,108.962,5.67556,-1.26196,1,79.4958,7.71754,3
6.21188,1364,3,42.9373,6.28378,-1.23318,1,85.62,10.8202,2
10.1812,1517,1,66.3195,7.24623,-1.23285,1,37.5263,8.82631,2
7.35026,1217,3,28.9844,-4.4037,-1.22218,1,78.3047,5.53985,1
3.90952,1738,3,6.33183,0.28915,-1.20229,1,63.1528,3.14746,1
5.38248,1038,1,9.74756,-4.07298,-1.19204,1,76.3306,1.48592,4
7.58144,1695,1,14.5646,-0.55238,-1.1467,1,83.9484,2.52654,4
10.752,1914,3,79.1413,5.04072,-1.13929,1,83.731,11.6765,2
10.4379,1692,3,66.8805,-4.47216,-1.1268,1,80.3238,10.7448,1
8.73915,1895,1,27.9482,4.91966,-1.115,1,76.2848,11.7072,4
10.8886,1637,3,82.9061,7.36834,-1.09944,1,79.0982,1.27178,4
5.74707,1265,1,25.3808,-2.73059,-1.08656,1,75.251,3.79735,2
9.6396,1959,2,82.2533,-1.21886,-1.07444,1,81.5004,7.47263,2
6.46874,1171,1,36.4482,7.33908,-1.03833,1,88.5149,6.39042,4
9.4134,1654,2,51.9379,9.36809,-1.02663,1,76.4322,9.14006,3
12.4418,1085,2,105.805,8.08013,-0.993125,1,79.1957,8.11226,1
9.27653,1386,3,96.9243,-2.05849,-0.951702,1,84.279,2.39712,1
5.01978,1595,2,46.0331,7.79776,-0.941868,1,30.7335,8.49887,4
9.08039,1190,2,73.1637,-0.855256,-0.871088,1,34.6873,9.26185,4
10.3735,1138,2,92.777,7.05588,-0.854446,1,64.7135,1.25015,3
4.10204,1600,3,18.468,2.11039,-0.842229,1,20.2519,9.52997,2
7.90126,1371,3,60.007,9.11086,-0.787951,1,68.0246,5.30171,3
5.89556,1688,1,38.5025,4.84941,-0.783823,1,22.9741,7.23383,4
6.40867,1126,1,25.2331,1.89197,-0.775035,1,40.1798,12.8613,2
6.18664,1995,1,23.9058,7.69552,-0.7693,1,82.8632,11.505,3
8.92635,1767,1,20.6864,7.42713,-0.743064,1,58.1127,6.45777,3
7.63913,1007,3,28.6005,7.59909,-0.726422,1,68.6105,12.3555,1
7.93621,1302,2,54.042,3.41353,-0.707959,1,79.439,4.86377,2
7.302,1082,1,44.9458,3.5465,-0.705834,1,70.5421,7.28092,3
10.0259,1462,3,93.3656,1.08564,-0.697553,1,34.34,3.1008,1
6.75238,1804,1,15.6861,8.94237,-0.664953,1,80.8743,1.99365,4
10.1322,1400,1,80.2652,8.04804,-0.64072,1,40.5,4.45844,3
13.2582,1310,3,116.036,-3.33388,-0.619399,1,49.3532,2.66636,2
10.4137,1309,1,83.0461,7.97084,-0.601734,1,56.2732,10.5737,3
11.1823,1935,3,87.5172,8.92077,-0.479053,1,25.666,4.05539,2
11.6549,1677,1,78.9723,5.51903,-0.475504,1,68.0684,9.07891,4
5.05862,1795,3,29.0373,2.84188,-0.457525,1,32.0055,13.1513,3
10.1298,1518,1,49.343,8.91648,-0.399544,1,49.7052,8.08821,2
7.73058,1016,2,3.02389,5.71272,-0.346633,1,71.1286,14.0867,1
9.90056,1301,1,75.7651,9.86259,-0.324601,1,47.6648,7.1712,1
6.67469,1293,1,27.372,-0.632667,-0.32253,1,42.2554,3.51329,2
4.1853,1975,1,1.53185,9.93299,-0.30634,1,43.0583,6.81508,1
7.88555,1671,3,55.6724,0.31959,-0.301766,1,23.2731,9.33497,4
5.57691,1552,1,11.9394,-2.59218,-0.257184,1,20.0535,4.36901,2
10.7665,1017,2,77.8206,0.21863,-0.257162,1,76.7139,12.8754,4
5.66088,1858,1,24.1679,9.89476,-0.25,1,77.3818,12.3427,2
9.0086,1272,1,56.8705,7.40387,-0.241861,1,31.8352,5.36654,2
8.0665,1977,1,86.1617,4.17787,-0.211045,1,27.4923,2.62468,2
10.6058,1871,3,84.7956,-0.96633,-0.20627,1,46.7207,13.8812,2
10.1485,1801,2,99.4267,-2.60368,-0.204831,1,72.2851,8.40657,2
8.80977,1977,3,9.56581,5.47183,-0.168205,1,72.5871,8.1518,1
9.64752,1702,1,58.2349,6.30277,-0.154595,1,49.1033,13.1641,4
8.90072,1703,3,66.1392,7.82377,-0.134885,1,37.0598,13.3727,3
7.20346,1199,3,58.3779,-2.55725,-0.128371,1,59.1903,4.97926,1
10.9531,1210,1,85.1155,6.85357,-0.0977557,1,47.0407,5.79204,2
10.8234,1815,3,113.334,-3.82086,-0.0946406,1,49.3355,0.970805,3
8.44779,1182,3,104.687,1.46244,-0.0935156,1,32.4359,1.50409,3
8.30237,1837,1,64.7033,-4.81507,-0.0880816,1,77.8116,1.4334,1
9.6156,1976,3,79.4001,2.11004,-0.0867442,1,78.0464,13.697,1
11.1511,1589,1,75.078,-0.660798,-0.0719715,1,80.4476,13.3708,2
7.78798,1396,3,50.9821,1.61393,-0.0192735,1,60.654,10.4217,1
7.16457,1235,2,18.7022,-4.24056,-0.00504873,1,76.7415,2.1623,3
9.528,1895,2,66.3248,7.21518,0.026765,1,82.4396,8.22227,4
4.95081,1232,2,12.3019,1.09996,0.0350204,1,81.0243,2.70273,3
7.10553,1132,1,7.93982,8.20285,0.0809877,1,20.8964,2.81086,1
9.50182,1726,3,107.686,6.71448,0.132249,1,42.3541,7.59235,1
12.6534,1055,1,99.1861,5.71261,0.181737,1,20.6594,13.5289,4
8.28097,1229,2,31.8823,-4.71241,0.193955,1,83.1178,7.4152,3
7.08541,1008,1,39.1967,5.20607,0.213274,1,34.7819,2.27128,2
6.81362,1587,2,44.9666,-0.530512,0.257283,1,41.3997,2.23551,4
12.9938,1415,3,91.7581,5.55783,0.27452,1,61.9081,5.84295,2
11.1554,1297,1,98.6207,-4.80551,0.289058,1,53.4687,8.4067,2
6.47469,1945,2,37.5334,1.3307,0.315477,1,38.7415,3.91165,3
9.35717,1641,2,48.5962,-2.14171,0.373777,1,65.6072,5.48481,3
11.0332,1382,3,69.7907,-2.4968,0.383354,1,70.266,3.24171,4
8.14924,1224,1,80.7711,2.61321,0.42573,1,68.4806,4.29422,3
4.86813,1642,2,20.1624,3.44939,0.465597,1,83.1469,7.40898,1
7.9231,1802,2,73.213,9.74227,0.494277,1,34.8567,1.89024,3
9.57655,1049,1,106.632,-0.865946,0.497829,1,34.4734,1.02447,1
11.2397,1845,2,100.329,1.4867,0.51297,1,78.4126,2.25246,2
10.7182,1639,2,95.1114,8.47667,0.530139,1,54.4727,2.50631,3
5.85164,1480,2,2.02954,7.26796,0.531015,1,71.4163,10.2282,4
4.82056,1535,2,47.2363,9.14335,0.545615,1,34.6896,6.88301,4
5.63173,1770,1,12.4751,4.64353,0.548533,1,44.3976,3.84013,4
7.98426,1652,2,70.2934,5.6009,0.557281,1,23.4732,2.82724,1
6.72834,1748,2,14.6997,-1.13523,0.564687,1,59.2154,6.15101,3
7.18092,1628,3,72.8368,4.9337,0.569744,1,59.453,5.00456,4
10.4669,1556,3,115.67,-2.34388,0.666168,1,80.0643,2.6147,1
4.45119,1876,2,29.5618,2.20425,0.702866,1,23.3868,10.7585,3
9.44437,1267,3,51.18,7.48071,0.707419,1,88.9508,3.86926,2
12.0543,1102,1,111.507,6.87945,0.74177,1,42.1725,7.82925,4
6.86999,1606,3,46.5391,5.27451,0.745947,1,58.2609,8.19732,2
5.90473,1946,1,44.6499,1.18482,0.754086,1,33.6443,13.4735,4
9.4627,1771,1,65.3109,9.50225,0.761771,1,65.8951,2.89294,1
7.9634,1658,1,61.0669,-3.40206,0.773207,1,88.0833,5.98303,2
9.50611,1250,3,97.0592,-3.92464,0.774988,1,61.0252,12.0017,2
8.21112,1805,3,39.2329,-0.287997,0.781439,1,36.5352,10.6472,1
9.18668,1046,2,33.572,5.10973,0.792279,1,25.6718,9.45035,1
10.2165,1518,2,74.7056,9.55794,0.794619,1,63.6211,10.3508,2
11.3359,1855,2,74.0527,0.833458,0.843233,1,49.4168,9.01609,4
4.13187,1177,2,27.9007,-4.16834,0.8779,1,39.0285,0.015407,2
8.67607,1032,1,34.8055,7.85802,0.882506,1,76.0609,9.45019,3
10.8103,1683,1,118.959,-0.287079,0.93595,1,36.5031,7.1245,4
10.4842,1780,3,96.2191,1.03138,0.961422,1,42.3399,6.58999,3
10.9994,1020,2,93.1053,2.22197,0.976956,1,64.962,13.8817,2
12.5944,1406,3,96.8359,9.52835,0.981793,1,70.4539,14.4266,1
11.0642,1231,3,65.5938,7.49639,1.04378,1,70.4641,6.14882,2
9.57752,1663,1,62.1847,6.41341,1.06825,1,62.1427,1.28416,4
9.51722,1531,2,93.9958,7.73005,1.0774,1,42.504,9.24887,2
10.2047,1559,2,114.338,-1.69281,1.08592,1,36.8914,6.11199,3
9.73425,1773,2,75.6297,5.85269,1.09035,1,50.2777,3.78518,1
9.59205,1980,3,77.0183,-3.74602,1.10645,1,47.0194,0.836159,3
10.4707,1510,1,90.8076,4.08812,1.11735,1,71.062,2.59184,3
7.02361,1759,1,33.6546,7.71956,1.15403,1,63.5053,4.95221,2
8.67735,1701,3,19.6475,1.31757,1.1596,1,40.6354,12.0829,2
10.9991,1612,3,100.334,-3.05756,1.20208,1,78.6127,13.7541,2
11.7258,1806,3,114.111,1.21617,1.28797,1,62.4612,12.2276,4
6.52692,1739,1,37.2282,1.8358,1.35661,1,88.8278,9.49164,3
7.63889,1216,3,1.19086,9.83275,1.35979,1,84.8918,1.9798,1
7.38823,1376,2,44.815,2.34054,1.39134,1,85.7521,0.0395088,1
10.7203,1814,3,107.589,9.62471,1.42981,1,85.3021,12.6072,4
12.0908,1662,3,89.0704,6.9208,1.476,1,38.5074,14.5564,1
6.79349,1920,1,6.83745,5.18491,1.51665,1,50.7206,14.754,1
5.21329,1377,1,17.1068,0.569127,1.5384,1,69.8339,0.697042,4
6.41135,1802,3,53.2924,7.02878,1.58382,1,21.6207,1.46744,2
4.99193,1946,1,23.2547,7.34973,1.62331,1,75.6225,5.06555,4
7.52025,1377,2,71.2154,2.56728,1.63595,1,26.3441,5.95364,1
7.03332,1464,1,59.8762,5.45092,1.66666,1,42.5224,0.441796,3
11.7215,1972,1,100.484,4.10785,1.67865,1,79.0466,13.5717,2
3.83505,1105,3,6.74113,-2.21781,1.67968,1,64.9117,1.65472,4
7.19936,1006,2,38.1648,0.923474,1.69744,1,56.6516,4.24951,1
6.63257,1040,2,37.4237,7.03395,1.70262,1,42.476,12.0098,1
6.70952,1400,1,52.3495,1.9409,1.73092,1,65.9156,5.73802,1
12.4937,1703,3,94.8616,-1.03606,1.77084,1,65.2607,9.07959,1
6.7759,1510,2,6.55613,7.97029,1.82671,1,29.8344,10.995,2
6.66816,1370,2,26.9589,9.27548,1.83761,1,23.4173,9.69691,3
8.20841,1728,1,74.8055,1.59849,1.86206,1,32.9164,3.5559,4
10.6971,1423,3,102.943,8.51284,1.90211,1,66.5878,8.1704,1
10.9569,1147,1,66.2055,2.44351,1.90888,1,85.4422,13.9482,4
6.61767,1542,1,38.4358,-2.65672,1.93549,1,56.4932,11.2988,4
8.62483,1972,1,28.9398,8.13184,2.00021,1,79.2092,3.5509,3
10.0873,1395,3,83.5387,0.617719,2.01708,1,41.7506,11.5631,1
7.9484,1372,1,70.3038,5.26693,2.03741,1,23.9338,9.20541,2
11.5965,1394,2,118.428,7.84026,2.08041,1,77.4361,3.34127,2
7.37385,1928,2,30.3927,3.47018,2.0953,1,84.9915,1.99214,4
9.23224,1718,3,61.0751,-0.454753,2.11736,1,35.1194,9.4771,1
4.34844,1647,1,9.03345,4.30567,2.13201,1,31.6063,3.44976,4
9.35949,1232,1,48.2888,1.51365,2.1361,1,74.039,14.7393,2
10.3232,1355,3,98.355,-1.94266,2.13663,1,70.0289,1.38262,1
5.03177,1970,3,9.47273,7.0489,2.19782,1,69.1404,1.15902,2
6.67441,1172,1,56.6283,1.4917,2.20383,1,34.1682,2.83611,3
9.95375,1423,1,76.0667,6.23422,2.23375,1,62.6987,3.25557,2
7.06,1380,1,12.2217,5.48433,2.25662,1,25.7002,9.10348,1
5.48489,1885,2,6.6889,1.7525,2.25785,1,88.4924,10.8805,2
8.09791,1671,2,65.0418,9.86078,2.26596,1,41.4001,12.6602,1
7.88188,1011,2,6.79507,2.60898,2.27346,1,61.0153,11.0958,4
7.15974,1219,3,59.1636,3.45736,2.29312,1,63.2147,11.7525,4
10.7718,1735,1,87.6266,7.38506,2.33605,1,81.4374,9.41471,3
5.2902,1887,2,6.54111,0.0600103,2.352,1,49.8695,5.63289,2
8.60383,1482,3,86.1682,3.76707,2.37434,1,55.6326,7.03022,2
12.5882,1181,1,117.734,-1.54981,2.41998,1,39.6802,4.58943,1
8.59516,1791,1,63.7125,-2.41892,2.43131,1,69.8887,2.18966,2
10.1463,1024,1,91.3022,4.76782,2.44489,1,50.6125,12.9535,2
7.20306,1189,2,29.4545,5.11532,2.45316,1,49.9031,4.44313,4
6.98516,1920,3,0.998393,-4.95076,2.46789,1,42.8851,13.0896,3
6.02353,1142,3,14.3053,-3.084,2.5064,1,70.1402,12.1711,1
6.38068,1525,2,12.5345,7.18366,2.53615,1,88.7548,4.02105,4
9.17817,1550,3,79.5657,-2.3945,2.55011,1,43.7918,14.2301,2
8.47191,1811,2,56.899,6.71406,2.56222,1,42.7809,3.05891,4
11.7196,1107,3,101.177,-0.716474,2.57158,1,70.3144,0.222412,3
6.15694,1395,1,70.5601,7.05636,2.58388,1,29.3316,11.3837,2
5.30506,1645,3,23.455,4.83797,2.60823,1,87.7357,7.61508,4
9.68494,1156,2,75.0396,-2.57766,2.63013,1,50.5114,10.4202,1
10.6774,1929,1,108.509,-1.60708,2.66746,1,74.2754,13.023,4
10.0896,1289,2,60.0366,0.273436,2.67832,1,73.3562,13.9368,1
8.86803,1061,1,77.8985,7.21868,2.69083,1,38.0203,0.356464,1
6.84262,1100,1,25.4497,8.66975,2.71394,1,48.416,10.1415,1
5.00934,1333,1,33.481,8.40129,2.71619,1,57.2862,7.74442,2
11.2934,1269,1,78.954,-1.48121,2.7913,1,48.1693,14.7855,1
8.8357,1712,2,26.2871,-3.34567,2.80909,1,77.0139,4.3526,3
7.41295,1200,3,47.7606,-2.28208,2.81287,1,53.7476,10.5669,1
9.91317,1676,1,76.1236,-0.0217502,2.8278,1,48.6173,1.73787,4
4.99054,1992,2,5.85196,-2.74255,2.85193,1,71.1275,10.9608,2
12.6695,1933,1,114.856,-1.36607,2.86078,1,88.2504,3.71946,4
9.48042,1773,3,68.5088,7.26749,2.86893,1,38.9814,1.25289,1
9.88095,1990,2,76.858,5.9249,2.87611,1,41.6201,4.39976,1
1.88143,1454,2,26.0944,-3.05329,2.89025,1,20.2052,1.90506,3
6.25786,1641,1,28.0575,-4.9491,2.91814,1,31.8553,7.0368,1
8.00335,1428,2,53.5064,6.47519,2.99064,1,33.751,7.2847,2
9.0799,1758,3,87.7784,0.108049,3.00651,1,35.0323,11.8544,1
6.32602,1643,3,42.5674,2.62652,3.06522,1,24.7072,2.2836,1
8.16871,1758,2,84.0417,-3.84766,3.12228,1,54.4308,13.7272,2
4.40026,1085,3,1.09044,6.57387,3.17661,1,65.2028,2.35414,1
10.2779,1504,1,115.689,4.45931,3.2359,1,59.6715,1.76712,4
10.5777,1914,2,77.4285,9.84182,3.25386,1,35.863,13.9077,1
8.86478,1513,2,62.1989,7.50798,3.25415,1,79.247,11.3951,3
10.0775,1019,3,53.1186,7.61762,3.28294,1,45.6798,6.77679,3
10.7878,1573,2,119.378,4.19925,3.30269,1,31.0014,12.7361,3
5.78318,1301,1,47.7135,-0.738173,3.3345,1,54.4829,13.3892,1
8.76787,1663,3,60.334,-0.0881184,3.37143,1,39.6358,4.99151,3
5.53881,1850,1,47.3487,1.60115,3.38069,1,20.8601,6.04388,1
