Energy_Consumption_kWh/km,Speed_kmh,Slope_%,Temperature_C,Road_Type,Humidity_%,Wind_Speed_ms,Weather_Condition,Traffic_Condition
0.214,97.8,-4.4,-10.2,1,97.7,5.4,1,1
0.271,100.2,3.7,12.9,2,75.8,9.4,2,0
0.191,104.8,-6.4,4.2,1,74.2,7.0,0,1
0.179,28.1,-4.8,24.4,1,31.5,12.7,1,0
0.359,59.4,11.1,16.4,2,27.4,14.4,3,0
0.303,32.7,11.9,16.9,2,21.9,4.5,0,1
0.304,114.9,8.0,13.1,2,75.5,8.1,2,0
0.219,88.6,2.3,39.6,1,71.9,8.7,0,1
0.245,56.4,10.0,14.6,0,70.5,1.4,0,0
0.199,27.0,-5.8,-11.0,2,70.0,3.0,0,0
0.353,54.2,10.9,2.7,2,75.1,12.6,2,1
0.208,55.8,-1.0,27.9,2,86.8,6.5,1,1
0.291,100.3,9.2,19.6,0,78.1,1.1,2,0
0.258,90.1,5.4,22.6,2,67.9,9.3,1,1
0.314,117.6,11.2,35.7,2,37.4,6.3,0,1
0.287,71.9,9.3,9.4,1,81.4,13.3,1,1
0.298,33.2,9.8,-13.9,0,40.0,5.4,0,0
0.274,98.5,4.6,39.5,1,74.4,10.3,0,2
0.261,103.7,8.7,10.0,1,30.8,3.4,0,1
0.338,81.7,7.1,-9.6,1,60.8,13.8,0,2
0.262,104.8,-4.8,15.2,0,70.6,14.3,0,2
0.239,74.3,5.0,17.5,0,85.2,7.1,0,0
0.173,77.5,-5.0,16.0,1,76.2,4.1,0,1
0.26,67.0,9.4,38.1,0,84.5,0.4,1,1
0.235,22.8,-6.7,2.6,0,88.4,8.4,2,1
0.422,31.9,11.7,-13.1,0,90.1,10.0,3,1
0.255,23.5,0.0,35.6,2,90.5,8.9,0,2
0.245,90.0,-4.6,-4.5,2,41.1,9.5,0,1
0.285,54.6,10.7,26.2,2,84.6,2.3,1,0
0.236,75.9,-7.1,-3.8,0,21.4,3.6,0,2
0.323,119.8,1.4,30.6,0,94.9,12.0,2,2
0.273,47.4,7.4,34.9,0,34.9,1.6,0,1
0.265,65.1,-1.7,-9.2,2,90.7,10.5,1,2
0.389,103.1,2.6,-6.9,0,84.3,12.4,3,2
0.249,45.2,6.0,35.9,2,51.2,5.7,0,1
0.308,28.5,11.0,27.4,1,97.1,0.2,0,2
0.203,51.9,-5.9,-12.9,0,27.5,10.2,0,0
0.246,37.7,-4.9,-5.0,1,43.3,2.4,3,0
0.279,122.3,2.2,7.7,2,40.3,1.9,0,2
0.217,108.9,0.4,32.5,0,20.7,6.1,0,0
0.237,89.7,0.2,-6.7,1,33.2,12.0,2,0
0.212,115.9,-2.1,24.8,0,83.5,8.0,0,0
0.252,108.4,3.2,-10.4,0,86.5,6.7,0,0
0.262,40.5,9.7,10.7,1,79.6,9.4,1,0
0.235,118.2,-4.8,25.1,2,63.8,13.8,0,1
0.283,79.3,-3.7,-11.4,2,70.6,6.9,3,0
0.32,108.8,5.4,-3.8,0,66.5,1.3,2,1
0.271,118.6,-6.9,28.5,0,40.2,4.2,2,2
0.312,55.0,5.5,-6.0,0,50.8,13.8,1,1
0.188,32.1,-1.7,21.7,2,85.5,8.0,0,0
0.146,45.1,-0.8,20.3,1,27.5,3.1,0,0
0.203,67.0,0.1,13.6,0,23.1,4.6,0,1
0.238,110.0,-1.0,-3.9,2,75.0,6.9,2,1
0.315,114.7,8.8,7.9,2,87.1,14.8,0,1
0.287,20.8,10.9,19.2,0,69.4,6.4,2,0
0.27,76.2,3.0,33.5,2,81.0,2.9,1,2
0.258,65.9,3.6,28.9,1,98.2,9.7,0,2
0.245,44.4,-6.6,18.4,0,70.5,7.1,2,2
0.282,33.2,6.3,-2.4,0,55.5,11.6,1,0
0.242,57.1,3.7,-3.1,1,99.5,14.6,0,0
0.221,123.7,-7.0,29.8,2,70.3,11.2,0,1
0.226,55.6,-4.0,21.5,2,34.2,11.6,1,2
0.216,77.1,-4.0,4.7,0,74.8,12.4,0,1
0.183,97.3,-4.6,38.4,0,79.5,0.2,0,1
0.313,60.0,5.2,33.9,0,20.9,3.9,2,2
0.366,126.9,10.6,21.9,2,54.6,10.6,0,2
0.306,125.9,7.3,5.3,0,95.7,7.3,0,0
0.229,47.7,1.5,2.0,0,85.3,12.2,0,0
0.207,74.7,0.1,36.7,2,36.4,1.9,0,1
0.211,53.1,-0.3,9.4,0,44.4,4.6,0,1
0.312,51.3,4.0,29.0,2,72.8,14.5,2,2
0.234,24.1,-0.8,36.7,1,93.0,11.9,1,2
0.2,87.1,-3.5,12.1,0,90.3,7.1,0,1
0.248,75.3,4.1,20.9,0,39.4,9.1,0,1
0.205,25.7,-0.2,-10.3,0,74.5,1.7,0,0
0.212,50.7,-7.7,20.9,0,65.1,14.6,1,0
0.267,119.9,-7.6,-3.2,0,50.1,6.8,0,2
0.182,46.4,-2.5,21.9,0,44.1,2.9,0,1
0.283,35.9,2.2,-9.4,2,59.9,8.7,2,0
0.17,73.8,-0.9,12.2,1,65.5,14.7,0,0
0.207,128.4,-7.5,13.7,1,92.0,2.8,1,1
0.157,46.6,-3.5,11.6,2,79.9,1.8,0,0
0.179,93.9,-6.1,26.6,1,24.8,4.9,1,1
0.313,103.8,11.0,26.5,1,34.2,4.1,0,2
0.198,46.1,-1.7,23.9,0,39.0,9.8,1,0
0.195,100.1,-7.7,19.7,0,36.5,11.4,0,0
0.206,60.5,5.2,34.7,1,43.7,8.3,0,0
0.167,89.6,-3.4,16.7,0,52.5,0.0,0,0
0.229,89.7,3.3,4.2,0,21.4,0.3,0,1
0.283,78.9,-5.0,-11.7,0,25.5,12.8,2,1
0.345,29.9,11.7,14.5,0,73.0,14.7,0,2
0.381,111.9,11.4,-2.5,0,68.1,3.5,0,2
0.273,55.3,5.1,6.3,0,90.1,5.6,0,2
0.287,40.5,6.1,-12.3,2,96.4,4.4,0,1
0.225,24.5,0.5,20.2,0,78.5,9.1,0,1
0.322,85.0,11.2,33.8,1,51.6,2.7,1,2
0.235,94.5,0.5,2.9,2,79.5,5.0,2,0
0.237,21.8,-3.2,29.3,0,66.3,11.3,2,1
0.269,76.3,-5.7,-8.1,2,95.4,13.3,0,2
0.184,44.9,-3.8,24.8,2,92.4,1.2,2,0
0.289,91.0,3.4,-10.6,0,87.2,11.3,0,1
0.243,39.2,-3.1,-0.8,2,72.0,0.6,2,2
0.231,96.0,5.1,4.8,0,33.7,2.2,0,0
0.207,62.5,-0.4,-6.4,2,81.6,11.1,0,0
0.356,123.0,9.7,-4.9,2,90.3,1.1,1,1
0.213,35.1,3.2,23.4,0,80.1,0.1,1,0
0.246,57.5,4.5,-9.7,1,66.9,4.4,1,1
0.239,32.5,3.1,36.4,0,79.5,2.0,2,0
0.276,121.7,9.7,27.3,1,49.3,6.2,0,1
0.239,116.5,-6.7,4.6,0,31.2,14.0,0,1
0.239,48.4,-6.7,19.6,0,47.0,13.3,3,0
0.243,92.6,6.0,24.6,1,88.8,12.2,0,1
0.271,109.9,7.4,17.7,0,91.7,0.4,1,1
0.216,81.1,0.7,19.0,0,36.0,14.5,1,0
0.229,78.3,-1.0,35.4,0,27.0,11.9,1,1
0.192,46.6,-2.4,33.5,0,27.8,6.4,1,0
0.195,30.2,-3.3,35.3,0,63.7,8.8,0,0
0.287,118.7,10.2,33.7,2,41.4,13.3,1,0
0.24,119.0,-2.1,22.7,2,54.2,12.0,0,1
0.286,89.6,5.0,12.0,0,63.6,13.1,2,1
0.286,57.3,7.7,11.8,1,24.6,12.6,2,0
0.175,58.4,-7.6,27.4,0,83.1,9.0,0,1
0.216,99.9,-7.3,35.8,1,34.4,12.9,1,1
0.368,118.7,-1.3,-10.2,0,56.1,7.5,3,2
0.297,117.6,5.9,33.2,0,89.7,8.9,1,1
0.264,105.8,-2.8,31.7,0,85.8,11.7,2,1
0.265,90.6,-8.0,-10.2,1,91.1,12.7,0,2
0.226,29.3,-2.2,21.1,0,76.9,1.3,0,2
0.143,37.8,-6.2,38.5,1,38.8,4.3,1,0
0.236,118.8,-3.6,31.8,2,51.7,11.1,2,0
0.238,86.7,-1.3,-11.5,0,28.1,2.4,0,1
0.211,21.0,-5.4,35.9,2,49.8,8.9,2,0
0.26,31.2,6.1,-5.5,1,20.4,11.1,1,0
0.277,93.0,-2.9,-11.0,0,63.4,13.0,0,2
0.311,20.6,5.2,-2.5,0,24.1,4.8,1,2
0.236,37.7,4.0,11.6,2,28.8,10.7,1,0
0.278,80.4,10.0,29.8,0,66.6,4.8,0,1
0.19,96.1,-6.2,-0.3,0,25.3,3.7,0,0
0.18,91.7,-3.7,6.5,1,75.2,6.2,0,0
0.29,44.7,9.3,-7.2,0,73.9,13.9,0,0
0.296,98.3,8.4,1.0,2,93.2,4.0,1,0
0.265,46.1,-4.2,34.6,0,57.5,12.9,3,0
0.188,55.8,-5.8,22.4,1,99.4,6.4,1,1
0.254,102.1,9.1,22.1,2,93.7,1.0,0,0
0.211,91.5,-4.4,-1.3,2,54.5,11.0,1,1
0.315,113.4,9.4,-7.0,2,45.2,0.1,0,1
0.28,92.3,11.2,33.8,0,59.1,10.1,0,0
0.204,82.5,-3.6,36.9,0,57.7,9.7,0,1
0.314,30.3,8.8,-12.1,1,32.8,1.0,1,1
0.32,60.4,0.5,14.2,0,84.2,11.1,3,2
0.29,49.2,7.8,9.2,0,27.7,9.7,1,1
0.248,46.8,0.1,25.6,2,29.3,12.0,1,2
0.243,127.0,-6.6,1.6,0,66.3,9.3,0,1
0.226,63.2,6.3,19.1,1,38.4,1.0,0,1
0.265,118.1,-5.0,-10.5,0,90.8,11.4,2,0
0.275,89.4,10.5,30.3,1,99.9,6.8,0,1
0.214,107.4,0.4,-1.9,1,32.4,4.3,0,1
0.233,75.3,-6.4,2.3,2,95.1,4.2,2,1
0.193,83.5,-3.4,5.8,2,83.1,1.9,1,1
0.306,74.2,9.3,-3.6,0,50.3,1.4,2,0
0.206,41.5,-1.6,29.5,2,62.7,1.7,1,1
0.321,99.5,9.1,-11.2,2,51.3,13.2,0,0
0.176,50.9,-4.6,36.3,2,61.1,7.1,0,0
0.252,22.7,1.4,36.2,2,61.2,6.1,2,1
0.253,91.0,9.6,30.5,1,80.7,3.0,1,0
0.222,39.5,-7.0,37.4,1,73.1,6.7,1,2
0.232,123.5,-1.9,26.9,2,26.2,10.4,0,1
0.323,124.9,10.2,15.9,0,43.9,4.1,1,1
0.282,120.6,3.9,24.7,2,26.7,14.7,0,1
0.354,60.7,6.3,-14.8,0,54.2,12.2,1,2
0.271,21.7,8.8,22.7,1,58.7,4.9,2,0
0.394,122.1,2.5,-12.7,1,48.5,14.8,3,2
0.26,67.1,8.9,33.8,2,34.3,0.2,0,1
0.283,126.3,4.8,34.3,1,49.5,13.2,0,1
0.273,126.0,5.7,-8.7,0,75.2,7.2,0,0
0.182,113.8,-4.9,22.4,0,29.8,2.2,0,0
0.312,52.4,10.8,21.7,2,62.0,14.9,2,1
0.237,62.4,7.9,12.4,2,75.8,1.4,0,0
0.259,113.6,-2.9,-13.6,0,36.5,12.7,0,0
0.293,54.9,3.6,-8.7,0,93.7,8.1,1,1
0.211,38.6,-0.5,21.3,0,30.9,13.0,0,1
0.233,81.2,5.2,14.1,1,32.6,7.7,2,0
0.331,123.0,11.9,-12.5,0,30.0,1.6,0,0
0.251,96.6,-7.1,13.5,0,83.9,14.8,0,2
0.345,82.7,11.1,31.7,0,27.7,4.9,2,2
0.235,30.7,-6.6,34.0,1,60.5,12.2,2,2
0.239,87.7,1.2,23.3,0,91.0,12.7,0,1
0.257,128.9,1.6,21.4,2,65.5,6.7,1,1
0.185,35.4,-2.6,27.3,0,49.0,7.1,0,0
0.241,77.0,3.3,-7.7,2,56.3,2.9,1,0
0.273,116.5,8.7,-4.5,1,22.1,1.9,0,0
0.217,101.5,-2.1,11.7,2,60.1,2.8,2,0
0.195,96.7,-6.6,9.8,2,92.0,13.2,0,0
0.317,97.3,4.6,-4.9,2,90.0,14.2,2,0
0.242,59.5,7.0,22.3,2,25.6,4.4,2,0
0.315,52.3,11.1,25.8,0,59.2,1.5,0,2
0.213,109.0,-4.8,-0.1,0,28.0,12.1,0,0
0.303,109.1,10.0,2.2,0,67.0,2.6,0,0
0.3,115.4,1.6,-0.8,2,56.5,4.8,1,2
0.24,120.5,-3.3,0.3,1,74.0,4.0,0,2
0.331,76.2,11.3,5.1,2,60.5,10.9,2,0
0.236,75.2,-3.2,9.3,2,55.1,7.8,2,1
0.296,107.8,6.7,11.6,0,48.4,4.4,2,1
0.262,91.5,7.7,11.7,0,25.3,7.6,0,1
0.18,97.2,0.6,19.0,0,75.1,4.4,0,0
0.259,107.5,5.8,3.9,0,34.0,6.1,0,0
0.298,117.9,3.4,12.7,0,85.4,7.2,0,2
0.183,57.2,-4.2,12.8,1,45.9,0.6,0,1
0.285,61.3,7.2,-9.7,2,74.7,5.3,0,1
0.281,30.3,10.6,19.6,1,98.4,6.8,0,1
0.246,83.6,1.8,0.3,0,56.0,8.6,0,1
0.324,24.0,11.9,-12.4,1,81.7,2.5,2,0
0.223,71.2,0.6,20.6,0,83.4,3.8,0,2
0.225,79.7,1.6,-12.3,1,22.7,7.8,0,0
0.295,51.5,5.5,9.3,1,63.0,13.9,2,1
0.184,85.0,-4.3,19.2,0,45.9,12.6,1,1
0.42,23.4,10.0,39.9,0,55.8,14.9,3,2
0.234,24.1,8.0,13.3,2,44.0,2.3,0,0
0.328,110.5,9.4,2.5,0,63.3,11.7,0,1
0.282,59.6,4.2,12.1,2,92.2,6.9,2,1
0.322,34.0,9.7,-4.2,0,24.1,12.6,0,0
0.312,77.4,5.6,9.1,0,37.2,14.3,2,1
0.204,104.7,2.2,33.0,1,91.5,6.7,0,1
0.267,43.7,10.6,-7.5,1,25.8,0.3,1,0
0.223,88.5,0.8,14.2,0,49.5,0.8,2,1
0.261,29.4,2.0,19.1,0,40.1,12.7,2,0
0.239,25.7,-4.6,2.2,1,34.0,13.3,2,1
0.3,78.4,11.0,25.5,0,41.8,11.6,1,1
0.188,79.5,-3.6,21.5,0,66.5,1.2,0,1
0.193,90.1,-4.0,10.5,2,97.4,0.4,0,1
0.212,99.9,-6.0,20.2,0,53.1,11.0,0,1
0.269,127.3,1.1,31.2,0,55.7,9.5,2,0
0.179,76.8,-2.5,18.0,0,51.9,3.3,0,0
0.265,55.5,6.8,16.3,0,96.4,2.9,1,1
0.261,107.5,-1.8,19.2,0,30.5,6.5,2,1
0.234,49.8,6.4,22.2,0,44.4,5.4,0,0
0.255,68.3,-4.1,7.2,2,22.4,8.8,1,2
0.203,28.6,-3.4,31.0,2,47.5,10.5,0,1
0.269,22.8,8.1,35.8,0,42.2,2.1,0,1
0.237,125.9,-0.6,19.2,0,39.4,14.8,0,0
0.19,112.0,-5.8,33.8,2,37.8,4.3,1,0
0.325,96.6,11.2,26.0,1,46.7,14.2,0,2
0.155,65.0,-4.5,8.3,0,40.2,0.5,0,0
0.172,39.1,-5.0,12.3,2,25.0,1.3,0,1
0.186,37.2,-0.8,16.4,2,41.1,8.6,0,0
0.221,47.5,-6.1,36.6,2,98.2,10.8,0,2
0.192,80.4,-4.9,20.6,0,95.6,12.7,0,0
0.278,98.6,8.9,13.0,2,77.2,6.9,0,0
0.199,92.6,-4.6,-8.2,0,35.3,0.9,0,0
0.239,50.8,-5.8,21.7,0,66.0,5.0,3,0
0.339,125.0,9.6,15.5,1,87.2,14.7,1,2
0.257,101.2,0.9,36.7,0,28.9,13.7,0,1
0.221,81.0,-4.9,3.8,2,62.5,4.3,0,2
0.232,87.3,3.6,28.7,1,44.6,13.6,1,1
0.202,66.2,-7.2,0.5,1,52.1,10.7,1,1
0.265,47.3,0.5,-5.6,0,63.4,5.3,2,1
0.347,59.2,3.8,-14.3,0,58.3,14.6,2,2
0.293,103.4,11.1,34.2,1,93.5,7.4,1,1
0.222,21.6,-1.5,9.5,0,62.7,12.0,0,1
0.282,32.8,7.3,0.5,1,74.5,7.4,1,1
0.258,25.1,-5.3,7.2,0,64.6,5.4,3,0
0.234,24.5,0.7,24.2,0,52.3,10.0,0,1
0.25,114.1,-3.5,6.6,0,36.5,8.3,2,0
0.282,97.4,1.8,-2.6,0,26.5,10.5,1,1
0.207,72.2,0.3,-10.2,2,74.2,0.6,1,0
0.282,30.8,11.6,19.2,0,28.1,0.4,0,0
0.253,74.1,10.3,38.5,0,26.7,4.1,0,0
0.246,72.1,3.6,19.9,2,93.2,5.3,0,2
0.204,39.1,-4.5,37.1,0,97.6,7.9,2,0
0.227,67.7,3.1,33.3,0,68.1,0.6,1,1
0.322,63.8,7.8,-6.4,2,22.5,5.0,2,1
0.178,87.7,-7.2,33.3,2,81.0,4.7,0,0
0.29,89.9,0.7,-14.9,0,61.1,9.6,2,0
0.232,25.0,-7.1,13.0,0,82.0,10.8,0,2
0.171,61.2,-3.1,13.7,0,53.1,13.0,0,0
0.145,88.8,-6.2,25.0,1,79.6,0.8,1,0
0.262,75.3,11.2,26.6,0,83.6,3.4,0,0
0.213,114.2,-4.6,-2.3,0,63.7,4.4,0,0
0.208,92.5,-5.0,33.5,2,97.5,1.3,2,1
0.359,37.9,11.4,-5.1,0,44.6,13.5,2,0
0.254,27.8,2.3,37.9,2,95.7,10.0,2,0
0.24,90.7,7.2,39.2,2,23.5,8.8,0,0
0.281,22.9,-1.5,23.3,0,84.4,8.3,3,1
0.289,84.4,2.7,20.7,2,64.8,2.3,2,2
0.189,123.4,-7.9,38.9,1,47.5,14.6,0,0
0.273,83.3,0.2,-1.7,0,26.1,9.6,0,2
0.231,62.7,3.1,20.3,0,75.2,1.6,0,2
0.291,90.8,2.3,7.3,0,74.0,9.0,2,1
0.233,70.4,0.1,-5.8,0,78.1,3.6,1,1
0.32,80.0,7.8,-8.0,1,79.4,5.1,2,1
0.243,123.6,2.0,23.5,2,29.5,2.7,0,1
0.306,62.5,4.7,-2.4,2,88.7,12.5,0,2
0.192,125.7,-4.3,18.0,1,31.8,3.5,1,1
0.308,119.6,9.2,-1.9,0,65.3,9.1,0,0
0.246,41.5,-0.7,10.0,1,83.7,13.7,2,1
0.263,27.6,1.6,25.8,2,100.0,7.4,1,2
0.2,31.1,-1.0,14.0,2,35.5,6.6,0,1
0.289,22.0,9.8,32.9,1,43.2,8.5,2,0
0.325,30.4,10.0,13.9,0,43.7,5.1,1,2
0.255,95.1,-3.5,-4.3,0,76.9,1.2,3,0
0.226,27.8,7.1,34.3,1,60.8,4.8,0,0
0.156,55.1,-5.9,8.0,0,51.7,1.5,0,0
0.238,112.9,-7.4,32.7,2,95.7,8.2,0,2
0.326,22.6,8.7,-2.2,2,66.0,0.5,0,2
0.224,109.6,-5.4,20.0,0,86.9,13.3,0,0
0.183,51.0,-4.9,-5.9,2,97.2,0.6,0,0
0.251,33.0,4.1,-10.6,1,60.4,1.9,0,0
0.317,96.6,8.3,39.9,2,92.2,11.2,1,2
0.282,89.2,-4.2,-14.4,0,83.9,13.6,2,1
0.199,116.5,-5.7,17.5,2,99.8,8.7,0,0
0.231,100.9,-6.5,-14.3,0,56.0,7.8,1,0
0.197,108.4,-7.5,15.3,2,21.7,10.7,0,1
0.234,51.0,-5.7,-9.5,2,28.7,13.0,1,0
0.303,39.5,10.9,28.3,0,80.1,12.8,1,0
0.22,102.6,-6.1,1.1,1,85.1,12.3,2,0
0.273,108.8,4.0,3.9,1,48.8,11.0,1,1
0.327,129.0,10.4,-1.1,2,29.2,1.8,0,0
0.32,65.4,4.6,-8.7,1,76.7,9.6,2,2
0.206,60.9,-7.3,12.5,0,70.8,7.3,1,1
0.267,105.4,3.9,9.6,1,24.4,1.2,0,2
0.27,57.5,10.1,14.7,2,63.8,2.4,0,1
0.226,122.4,-1.5,19.4,1,39.8,11.5,1,1
0.275,114.4,-1.7,-10.1,0,29.3,13.2,1,1
0.241,67.2,-3.0,7.7,0,34.5,14.4,1,1
0.254,102.6,2.1,17.6,0,36.8,4.9,0,2
0.197,103.0,-3.2,2.8,1,32.8,14.1,0,0
0.268,31.3,6.5,-4.5,0,34.6,0.5,1,0
0.295,119.3,4.9,18.3,0,63.1,12.8,2,1
0.23,75.6,0.0,24.5,1,23.6,9.7,1,2
0.299,110.9,6.5,26.3,2,43.8,14.0,0,2
0.189,55.2,-6.0,2.9,1,28.7,4.7,2,0
0.328,118.5,7.0,-9.6,0,69.7,7.6,0,1
0.247,62.8,4.1,35.4,0,95.8,11.7,1,1
0.25,21.2,4.6,22.8,1,23.6,11.2,1,1
0.193,119.6,-6.7,37.2,2,91.7,11.9,0,0
0.35,30.0,4.4,-7.0,0,81.2,4.5,3,1
0.189,55.1,1.9,21.1,1,63.6,2.2,1,1
0.232,124.5,1.7,-4.2,1,95.9,4.9,0,0
0.265,124.6,-1.6,32.7,2,37.7,11.8,2,1
0.203,83.1,-7.8,13.6,0,23.5,7.6,1,1
0.231,89.5,0.5,14.3,0,82.7,10.1,0,1
0.222,69.3,0.0,36.2,0,29.8,14.8,0,1
0.231,52.3,0.5,1.7,0,86.6,5.1,0,1
0.247,56.2,4.2,19.0,2,93.4,8.5,1,1
0.2,94.0,-2.0,-7.1,0,39.9,3.3,0,0
0.236,102.8,-2.6,5.0,0,89.1,7.1,0,1
0.286,107.1,2.0,-4.3,2,62.7,9.1,0,2
0.255,106.9,3.8,-3.9,2,47.8,10.2,0,0
0.259,30.0,3.3,21.4,1,42.4,8.8,0,2
0.299,74.4,9.6,0.8,0,82.8,11.2,0,1
0.246,26.3,7.4,-1.2,1,73.0,4.7,0,0
0.174,80.4,-7.0,29.4,0,87.5,10.2,0,0
0.217,68.6,3.3,11.1,1,69.1,1.2,1,1
0.251,117.6,0.4,5.9,0,48.6,9.0,0,1
0.182,58.6,-0.8,29.8,0,48.9,6.1,0,0
0.326,32.9,11.2,11.9,2,93.0,4.6,2,1
0.255,35.7,1.1,29.8,2,73.4,2.2,3,0
0.281,103.8,6.4,2.5,2,87.4,14.3,0,0
0.305,88.0,11.3,37.9,0,80.9,10.3,1,0
0.184,31.1,-5.0,35.8,0,36.3,10.6,0,0
0.228,29.3,-6.9,30.3,2,56.4,12.7,0,2
0.227,97.1,-1.7,-3.3,0,26.7,14.1,0,0
0.161,28.0,-7.1,25.0,2,86.9,1.1,0,0
0.248,110.4,-5.7,30.0,0,64.8,7.6,3,0
0.339,97.7,11.8,5.0,0,93.0,0.4,0,2
0.358,28.9,11.2,-7.3,2,33.5,1.7,1,2
0.287,29.3,5.8,-0.2,0,93.9,8.7,2,0
0.296,128.5,7.1,17.2,1,91.0,14.6,0,1
0.193,61.2,-5.2,-1.2,0,32.9,10.0,0,0
0.252,60.8,3.9,21.4,2,81.0,9.7,0,2
0.196,109.4,-4.9,6.6,2,57.6,7.0,0,0
0.286,124.2,-0.4,-2.6,0,41.1,9.9,0,2
0.275,128.5,-1.1,18.7,0,93.7,0.8,3,0
0.282,102.9,4.3,-10.9,1,83.7,3.7,0,1
0.186,61.4,-6.4,19.4,0,33.1,4.2,2,0
0.2,29.2,-5.9,38.6,0,96.1,6.5,0,1
0.212,105.5,4.2,24.1,1,62.2,7.4,0,0
